shot_num_from_caption,json_path,frame_number
5,demo/data/generation_inputs_video_only_json/0000.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
3,demo/data/generation_inputs_video_only_json/0001.json,"[[0, 81], [81, 162], [162, 243]]"
12,demo/data/generation_inputs_video_only_json/0002.json,"[[0, 21], [21, 42], [42, 63], [63, 80], [80, 101], [101, 122], [122, 147], [147, 164], [164, 181], [181, 202], [202, 227], [227, 252]]"
6,demo/data/generation_inputs_video_only_json/0003.json,"[[0, 41], [41, 82], [82, 119], [119, 168], [168, 209], [209, 246]]"
8,demo/data/generation_inputs_video_only_json/0004.json,"[[0, 29], [29, 54], [54, 83], [83, 112], [112, 141], [141, 170], [170, 207], [207, 240]]"
7,demo/data/generation_inputs_video_only_json/0005.json,"[[0, 33], [33, 66], [66, 103], [103, 132], [132, 169], [169, 206], [206, 239]]"
10,demo/data/generation_inputs_video_only_json/0006.json,"[[0, 25], [25, 50], [50, 75], [75, 96], [96, 117], [117, 138], [138, 163], [163, 184], [184, 221], [221, 242]]"
5,demo/data/generation_inputs_video_only_json/0007.json,"[[0, 45], [45, 90], [90, 135], [135, 200], [200, 245]]"
2,demo/data/generation_inputs_video_only_json/0008.json,"[[0, 117], [117, 242]]"
4,demo/data/generation_inputs_video_only_json/0009.json,"[[0, 61], [61, 118], [118, 187], [187, 244]]"
11,demo/data/generation_inputs_video_only_json/0010.json,"[[0, 25], [25, 46], [46, 67], [67, 88], [88, 109], [109, 130], [130, 155], [155, 176], [176, 197], [197, 222], [222, 251]]"
15,demo/data/generation_inputs_video_only_json/0011.json,"[[0, 17], [17, 34], [34, 51], [51, 68], [68, 85], [85, 102], [102, 119], [119, 136], [136, 153], [153, 170], [170, 187], [187, 204], [204, 221], [221, 238], [238, 255]]"
4,demo/data/generation_inputs_video_only_json/0012.json,"[[0, 61], [61, 118], [118, 175], [175, 244]]"
7,demo/data/generation_inputs_video_only_json/0013.json,"[[0, 33], [33, 66], [66, 95], [95, 132], [132, 165], [165, 206], [206, 239]]"
7,demo/data/generation_inputs_video_only_json/0014.json,"[[0, 33], [33, 66], [66, 99], [99, 132], [132, 165], [165, 214], [214, 247]]"
7,demo/data/generation_inputs_video_only_json/0015.json,"[[0, 33], [33, 70], [70, 99], [99, 136], [136, 165], [165, 206], [206, 239]]"
7,demo/data/generation_inputs_video_only_json/0016.json,"[[0, 33], [33, 66], [66, 95], [95, 132], [132, 169], [169, 202], [202, 239]]"
13,demo/data/generation_inputs_video_only_json/0017.json,"[[0, 17], [17, 30], [30, 43], [43, 64], [64, 77], [77, 90], [90, 111], [111, 132], [132, 149], [149, 166], [166, 191], [191, 216], [216, 245]]"
9,demo/data/generation_inputs_video_only_json/0018.json,"[[0, 25], [25, 54], [54, 79], [79, 104], [104, 137], [137, 170], [170, 199], [199, 220], [220, 249]]"
5,demo/data/generation_inputs_video_only_json/0019.json,"[[0, 45], [45, 94], [94, 143], [143, 188], [188, 241]]"
6,demo/data/generation_inputs_video_only_json/0020.json,"[[0, 41], [41, 74], [74, 103], [103, 164], [164, 209], [209, 246]]"
6,demo/data/generation_inputs_video_only_json/0021.json,"[[0, 41], [41, 78], [78, 123], [123, 168], [168, 205], [205, 242]]"
10,demo/data/generation_inputs_video_only_json/0022.json,"[[0, 25], [25, 50], [50, 75], [75, 96], [96, 121], [121, 146], [146, 171], [171, 196], [196, 225], [225, 250]]"
9,demo/data/generation_inputs_video_only_json/0023.json,"[[0, 29], [29, 50], [50, 83], [83, 104], [104, 137], [137, 158], [158, 183], [183, 228], [228, 245]]"
5,demo/data/generation_inputs_video_only_json/0024.json,"[[0, 45], [45, 90], [90, 135], [135, 188], [188, 241]]"
9,demo/data/generation_inputs_video_only_json/0025.json,"[[0, 25], [25, 50], [50, 75], [75, 100], [100, 125], [125, 150], [150, 175], [175, 204], [204, 233]]"
7,demo/data/generation_inputs_video_only_json/0026.json,"[[0, 33], [33, 66], [66, 99], [99, 132], [132, 165], [165, 198], [198, 247]]"
5,demo/data/generation_inputs_video_only_json/0027.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
7,demo/data/generation_inputs_video_only_json/0028.json,"[[0, 37], [37, 70], [70, 103], [103, 144], [144, 169], [169, 222], [222, 243]]"
10,demo/data/generation_inputs_video_only_json/0029.json,"[[0, 25], [25, 46], [46, 67], [67, 88], [88, 109], [109, 134], [134, 155], [155, 180], [180, 221], [221, 246]]"
9,demo/data/generation_inputs_video_only_json/0030.json,"[[0, 29], [29, 50], [50, 71], [71, 104], [104, 125], [125, 154], [154, 183], [183, 216], [216, 245]]"
6,demo/data/generation_inputs_video_only_json/0031.json,"[[0, 37], [37, 70], [70, 119], [119, 156], [156, 201], [201, 238]]"
10,demo/data/generation_inputs_video_only_json/0032.json,"[[0, 21], [21, 46], [46, 67], [67, 92], [92, 113], [113, 138], [138, 159], [159, 184], [184, 213], [213, 242]]"
5,demo/data/generation_inputs_video_only_json/0033.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
14,demo/data/generation_inputs_video_only_json/0034.json,"[[0, 17], [17, 30], [30, 51], [51, 68], [68, 89], [89, 102], [102, 119], [119, 140], [140, 153], [153, 174], [174, 187], [187, 208], [208, 233], [233, 250]]"
9,demo/data/generation_inputs_video_only_json/0035.json,"[[0, 29], [29, 54], [54, 79], [79, 104], [104, 129], [129, 158], [158, 187], [187, 216], [216, 245]]"
8,demo/data/generation_inputs_video_only_json/0036.json,"[[0, 29], [29, 58], [58, 83], [83, 108], [108, 137], [137, 170], [170, 207], [207, 244]]"
4,demo/data/generation_inputs_video_only_json/0037.json,"[[0, 57], [57, 122], [122, 187], [187, 244]]"
9,demo/data/generation_inputs_video_only_json/0038.json,"[[0, 25], [25, 50], [50, 75], [75, 100], [100, 129], [129, 154], [154, 183], [183, 216], [216, 245]]"
9,demo/data/generation_inputs_video_only_json/0039.json,"[[0, 25], [25, 50], [50, 71], [71, 100], [100, 129], [129, 150], [150, 175], [175, 208], [208, 241]]"
5,demo/data/generation_inputs_video_only_json/0040.json,"[[0, 49], [49, 90], [90, 139], [139, 188], [188, 245]]"
6,demo/data/generation_inputs_video_only_json/0041.json,"[[0, 41], [41, 82], [82, 123], [123, 164], [164, 205], [205, 246]]"
7,demo/data/generation_inputs_video_only_json/0042.json,"[[0, 37], [37, 66], [66, 99], [99, 132], [132, 169], [169, 206], [206, 243]]"
8,demo/data/generation_inputs_video_only_json/0043.json,"[[0, 29], [29, 54], [54, 83], [83, 112], [112, 145], [145, 174], [174, 207], [207, 244]]"
6,demo/data/generation_inputs_video_only_json/0044.json,"[[0, 41], [41, 78], [78, 123], [123, 160], [160, 201], [201, 242]]"
4,demo/data/generation_inputs_video_only_json/0045.json,"[[0, 61], [61, 118], [118, 179], [179, 240]]"
5,demo/data/generation_inputs_video_only_json/0046.json,"[[0, 49], [49, 98], [98, 147], [147, 196], [196, 245]]"
8,demo/data/generation_inputs_video_only_json/0047.json,"[[0, 29], [29, 54], [54, 79], [79, 108], [108, 141], [141, 174], [174, 207], [207, 244]]"
7,demo/data/generation_inputs_video_only_json/0048.json,"[[0, 37], [37, 66], [66, 99], [99, 132], [132, 173], [173, 210], [210, 243]]"
7,demo/data/generation_inputs_video_only_json/0049.json,"[[0, 33], [33, 66], [66, 99], [99, 132], [132, 169], [169, 206], [206, 243]]"
11,demo/data/generation_inputs_video_only_json/0050.json,"[[0, 25], [25, 46], [46, 67], [67, 88], [88, 109], [109, 130], [130, 151], [151, 176], [176, 197], [197, 222], [222, 251]]"
6,demo/data/generation_inputs_video_only_json/0051.json,"[[0, 41], [41, 74], [74, 119], [119, 160], [160, 201], [201, 238]]"
8,demo/data/generation_inputs_video_only_json/0052.json,"[[0, 29], [29, 54], [54, 83], [83, 112], [112, 149], [149, 182], [182, 215], [215, 244]]"
8,demo/data/generation_inputs_video_only_json/0053.json,"[[0, 29], [29, 58], [58, 83], [83, 112], [112, 141], [141, 174], [174, 207], [207, 244]]"
10,demo/data/generation_inputs_video_only_json/0054.json,"[[0, 25], [25, 50], [50, 75], [75, 100], [100, 125], [125, 150], [150, 175], [175, 200], [200, 225], [225, 250]]"
2,demo/data/generation_inputs_video_only_json/0055.json,"[[0, 133], [133, 242]]"
